Water Company Name,Site Name,Permit No.,Activity Reference (if more than one discharge) on permit,Shellfishery                                          (Only populate for storm overflows that have Shellfish water EDM requirements),Bathing Beach                                           (Only populate for storm overflows that have bathing water EDM requirements),Total Duration (hours) of all spills prior to processing through 12-24 hour counting method,Counted spills using 12-24hr counting method,% of reporting period EDM operational,Comments,
Thames Water,BICESTER STW,CAWM.0807,,,,1236.22,117,100%,,
Thames Water,BLAKES LOCK SPS,TEMP.1768,,,,0,0,100%,,
Thames Water,BLEDINGTON STW,TEMP.2395,,,,1535.72,92,99%,,
Thames Water,BLETCHINGDON STW,NPSWQD002610,,,,945.94,116,99%,,
Thames Water,BLINDMANS GATE SPS,TEMP.0482,,,,237.92,23,100%,,
Thames Water,BLOXHAM STW,CAWM.0550,,,,2322.56,119,100%,,
Thames Water,BLUNSDON STW,TEMP.2400,,,,19.04,2,99%,,
Thames Water,BN_SOUTH CLOSE SPS,CLCR.0177,,,,0,0,84%,"Data between 29/07/2020-24/09/2020 missing due to comms issue
",
Thames Water,BODDINGTON STW,CNTW.0359,,,,98.71,9,100%,,
Thames Water,BORDON STW,CTCR.1645,,,,1947.93,91,100%,,
Thames Water,BOTLEY ROAD SP48066205 CSO,CAWM.0064,,,,91.2,17,100%,,
Thames Water,BOURTON ON THE WATER SP17193803 CSO,CETR.2036,,,,1636.1,107,100%,,
Thames Water,BRACKNELL STW,CTCR.1973,,,,1481.89,94,99%,,
Thames Water,BRAMLEY SPS,TEMP.0515,,,,112.97,20,99%,,
Thames Water,BRASSWAY ROAD TQ25734804,TEMP.2790,,,,17.46,13,98%,,
Thames Water,BRENT PARK LODGE EALING A TQ22889102 CSO,TEMP.2413,,,,1.82,3,79%,Multiple periods of missing data due to comms issues ,
Thames Water,BRICKENDON STW,CLCP.0173,,,,1072.58,85,100%,,
Thames Water,BRIGHTON ROAD TQ2457141C CSO,TEMP.2870,,,,10.37,2,100%,,
Thames Water,BRIXTON ROAD TQ31761401 CSO,CSAB.0554,,,,828.07,103,100%,,
Thames Water,BROADWELL STW,TEMP.2418,,,,480.63,31,100%,,
Thames Water,BROOK WAY TQ43933202 CSO,TEMP.2449,,,,1228.32,58,70%,Data between 14/09/2020-31/12/2020 missing due to interferance,
Thames Water,BROOME STATION FBT,TEMP.2451,,,,46.14,6,100%,,
Thames Water,BS_KNIGHTS LANE SPS,TEMP.1280,,,,864.01,60,99%,,
Thames Water,BS_ST STEPHENS HALL SPS,TEMP.1644,,,,283.64,51,100%,,
Thames Water,BS_SWAINS ROAD SPS,TEMP.2032,,,,1.28,4,100%,,
Thames Water,BS_WATER END SPS,TEMP.2184,,,,25.73,5,100%,,
Thames Water,BS_WEST HEATH SPS,NPSWQD001561,,,,1138.78,74,98%,,
Thames Water,BUCKLEBURY STW,TEMP.2421,,,,496.61,76,99%,,
Thames Water,BUNTINGFORD STW,CATM.3092,,,,61.26,20,100%,,
Thames Water,BURFORD MEADOW END STW,CTCP.0026,,,,1.85,1,100%,,
Thames Water,BURGES ROAD TQ43834819 CSO,CANM.0029,,,,10.77,3,84%,Data prior to 27/02/2020 missing due to monitor relocation. Multiple short periods missing due to comms issue.,
Thames Water,BURGHFIELD STW,TEMP.2425,,,,3227.18,143,100%,,
Thames Water,BURNSIDE AVENUE CHINZ1ZZ CSO,TEMP.2520,,,,3.32,1,100%,,
Thames Water,BURSTOW STW,CASM.0096,,,,1278.68,124,100%,,
Thames Water,BUSHEY COURT TQ22699006 CSO,TEMP.2429,,,,9.26,4,86%,Data missing prior to 20/02/20 due to comms issue.,
Thames Water,BYFIELD STW,CTCR.1777,,,,295.68,19,100%,,
Thames Water,CADDINGTON STW,CSSC.8551,,,,70.02,8,100%,,
Thames Water,CAGE END SPS,CLCP.0111,,,,46.94,11,100%,,
Thames Water,CAMBERLEY STW,TEMP.2455,,,,186.25,28,100%,,
Thames Water,CANFIELD END SPS,TEMP.0596,,,,3.15,1,100%,,
Thames Water,CANTERBURY ROAD TQ31663901 CSO,TEMP.2514,,,,24.92,16,97%,,
Thames Water,CARTERTON STW,CATM.3521,,,,697.8,45,100%,,
Thames Water,CASCADE ROAD STORM TANKS TQ42930607 CSO,TEMP.2818,,,,369.48,59,97%,,
Thames Water,CASSINGTON STW,TEMP.2457,,,,229.9,28,100%,,
Thames Water,CASTLE GARDENS SPS,CTCR.0392,,,,36.4,6,100%,,
Thames Water,CAVERSHAM SPS,TEMP.1769,,,,0,0,100%,,
Thames Water,CHACOMBE STW,TEMP.2460,,,,78.46,15,100%,,
Thames Water,CHADLINGTON STW,TEMP.2461,,,,445.9,45,100%,,
Thames Water,CHALGROVE STW,TEMP.2462,,,,1580.23,92,100%,,
Thames Water,CHAPEL ROW STW,CSSC.2466,,,,1250.63,88,100%,,
Thames Water,CHAPMORE END STW,TEMP.2465,,,,57.5,25,100%,,
Thames Water,CHARLBURY STW,TEMP.2466,,,,370.4,28,100%,,
Thames Water,CHARLTON OTMOOR STW,TEMP.2467,,,,1261.8,103,100%,,
Thames Water,CHARLTON STORM RELIEF_LONDON,CSAB.0551,Multiple Overflow site,,,60.36,28,99%,"Multiple overflow site.
",
Thames Water,CHARLWOOD TQ24409902 CSO,CTCR.1926,,,,320.9,32,96%,,
Thames Water,CHERTSEY STW,CTCR.1977,,,,1075.75,61,100%,,
Thames Water,CHERWELL STREET SPS,CTCR.0102,,,,1.12,2,100%,,
Thames Water,CHESHAM STW,TEMP.2474,,,,963.3,59,100%,,
Thames Water,CHIEVELEY STW,TEMP.2475,,,,43.62,4,100%,,
Thames Water,CHILTON FOLIAT STW,TEMP.2478,,,,594.08,71,100%,,
Thames Water,CHINNOR STW,TEMP.2480,,,,601.38,83,100%,,
Thames Water,CHIPPING NORTON STW,CTCR.1767,,,,596.38,43,100%,,
Thames Water,CHIPPING WARDEN STW,CTCR.1793,,,,261.76,35,100%,,
Thames Water,CHOBHAM STW,TEMP.2484,,,,1315.55,98,100%,,
Thames Water,CHOLSEY STW,TEMP.2485,,,,74,13,100%,,
Thames Water,CHURCH HANBOROUGH STW,CSSC.5783,,,,899.9,81,100%,,
Thames Water,CHURCH STREET TQ27771503 CSO,CSAB.0574,,,,1.42,2,100%,,
Thames Water,CHURT SPS,CASM.0403,,,,10.53,3,100%,,
Thames Water,CIRENCESTER,CTCR.1750,,,,735.33,72,100%,,
Thames Water,CLANFIELD MARSH STW,TEMP.2488,,,,3843.33,176,100%,,
Thames Water,CLAPHAM TQ30783011 CSO,CSSB.7809,,,,6.36,7,100%,,
Thames Water,CLIFTON STW,TEMP.0707,,,,166.24,29,100%,,
Thames Water,COBHAM BRIDGE TQ09609718 CSO,TEMP.2528,,,,335.31,35,84%,"Data prior to 27/02/2020 missing due to comms issue
",
Thames Water,CODICOTE STK,RET/TH/23,,,,893.31,100,100%,,
Thames Water,COLDHARBOUR LANE TQ13959301A CSO,TEMP.2331,,,,0,0,100%,,
Thames Water,COLGATE STW,TEMP.2495,,,,385.59,40,100%,,
Thames Water,COMBE STW,TEMP.2496,,,,305.9,29,100%,,
Thames Water,COMPTON STW,CAWM.0012,,,,1111.44,74,94%,,
Thames Water,COPPICE GREEN SU85708406 CSO,CTCR.1999,,,,21.73,4,84%,"Data prior to 27/02/2020 missing due to comms issue
",
Thames Water,CORBETT ROAD TQ4188231C CSO,CEHR.0019,,,,77.05,46,100%,,
Thames Water,COTTERED STW,CSSC.1038,,,,2604.94,152,100%,,
Thames Water,CRANLEIGH STW,CTCR.1838,,,,369.49,41,100%,,
Thames Water,CRAWLEY STW,CNTM.1402,,,,505.64,41,95%,,
Thames Water,CRICKLADE      ,TEMP.2504,,,,475.43,52,100%,,
Thames Water,CRONDALL STW,CSSC.2450,,,,2401.08,112,100%,,
Thames Water,CROPREDY STW,TEMP.2506,,,,1268.1,85,100%,,
Thames Water,CROSSNESS STW (STK1),CSSA.0362,,,,350.1,36,100%,,
Thames Water,CUDDINGTON STW,TEMP.2510,,,,589.55,33,100%,,
Thames Water,CULHAM STW,TEMP.2511,,,,25.18,5,99%,,
Thames Water,CULWORTH STW,TEMP.2512,,,,137.37,26,100%,,
Thames Water,CW_WESTON ON THE GREEN SPS,TEMP.2220,,,,3.28,17,100%,,
Thames Water,CY_PEASE POTTAGE SPS,TEMP.2831,,,,166.11,16,100%,,
Thames Water,DA_PRIORY ROAD SPS,TEMP.1739,,,,0,0,100%,,
Thames Water,DAGNALL STW,CTCU.0375,,,,524.42,70,100%,,
Thames Water,DAINTRY CLOSE TQ16893216 CSO,CANM.0233,,,,722.77,119,100%,,
Thames Water,DARTFORD CREEK STK 1,TEMP.2537,,,,241.6,79,31%,Data missing between 24/06/2020 - 31/12/2020 due to suspect data,
Thames Water,DEEPHAMS STW.CONSENTED OVERFLOW,CNTD.0072,,,,139.03,14,66%,Data missing prior to 04/05/2020 due to installation issue,
Thames Water,DEPTFORD CREEK STORM,TEMP.2540,,,,191.94,44,100%,,
Thames Water,DEPTFORD STORM RELIEF_LONDON,CSAB.0536,,,,704.74,132,100%,,
Thames Water,DIDCOT STW,CATM.3651,,,,1353.48,88,100%,,
Thames Water,DISTRICT ROAD TQ16856001 CSO,TEMP.2551,,,,1.35,3,100%,,
Thames Water,DORCHESTER STW,TEMP.2542,,,,0,0,100%,,
Thames Water,DORKING STW,CASM.1027,,,,2101.59,118,100%,,
Thames Water,DORTON STW,TEMP.2544,,,,79.79,34,100%,,
Thames Water,DRAYTON STW,CNTD.0030,,,,770.77,50,100%,,
Thames Water,DUCK END SPS,TEMP.0455,,,,0,0,100%,,
Thames Water,DUNTSHILL ROAD TQ25738005,TEMP.2555,,,,1.28,1,100%,,
Thames Water,EA_SOUTH EALING ROAD SPS,TEMP.1929,,,,1.02,3,96%,,
Thames Water,EA_TRUMPERS WAY SPS,TEMP.2125,,,,55.19,28,98%,,
Thames Water,EARL STORM OUTLET SPS,CSAB.0533,,,,68,12,100%,,
Thames Water,EARLSWOOD COMMON TQ26489602,TEMP.2575,,,,59.11,15,96%,,
Thames Water,EARLSWOOD STW,CASM.0827,,,,1854.35,114,97%,,
Thames Water,EAST GRAFTON STW,TEMP.2556,,,,279.32,32,100%,,
Thames Water,EAST HYDE STW,TEMP.2735,,,,22.32,7,91%,,
Thames Water,EAST SHEFFORD STW,CNTD.0032,,,,2753.49,121,100%,,
Thames Water,EASTCOTE AVENUE TQ16844904,TEMP.2580,,,,0,0,98%,,
Thames Water,EASTHAMPSTEAD PARK STW,TEMP.2561,,,,179.07,23,100%,,
Thames Water,EF_WEALD BRIDGE FLYGT SPS,TEMP.2197,,,,252.51,34,100%,,
Thames Water,EF_WYNTERS BROOK 1 SPS,TEMP.2279,,,,0,0,81%,Multiple periods of missing data due to comms issues ,
Thames Water,EH_BAKERS FARM SPS,TEMP.0382,,,,43.07,12,100%,,
Thames Water,EPSOM STORM TANKS TQ21621186 CSO,TEMP.2567,,,,6.28,4,86%,"Multiple short periods of missing data due to comms issues
",
Thames Water,ESHER STW LEVEL 2,CTCR.0753,,,,651.49,60,100%,,
Thames Water,ESSENDON TSPS,TEMP.0924,,,,44.57,8,99%,,
Thames Water,EWELL STORM TANKS TQ21631605 CSO,CTCR.0519,,,,34.32,13,100%,,
Thames Water,EYDON STW,CSSC.1370,,,,670.36,65,95%,,
Thames Water,FAIRFORD STW,CATM.3518,,,,2491.52,138,100%,,
Thames Water,FALCON BROOK STRATEGIC SPS,CSAB.0557,,,,947.93,55,100%,,
Thames Water,FARINGDON STW,CTCR.1077,,,,127.89,54,94%,,
Thames Water,FARNBOROUGH STW,CSSC.1369,,,,1763.44,158,100%,,
Thames Water,FARNHAM STW,TEMP.2589,,,,483.63,55,100%,,
Thames Water,FERGUSSON ROAD SP46411153 CSO,TEMP.2606,,,,0,0,100%,,
Thames Water,FIDDLERS HAMLET STW,CSSC.0295,,,,781.17,71,100%,,
Thames Water,FIELD END ROAD TQ12853701 CSO,TEMP.2592,,,,1.54,1,100%,,
Thames Water,FINSTOCK STW,TEMP.2594,,,,248.57,26,100%,,
Thames Water,Fleet Mainline ,CSAB.0541,Multiple Overflow site,,,85.73,125,99%,Data calculated to account for tidal influence. Multiple overflow site. ,
Thames Water,FLEET STW,CTCR.1836,,,,1667.9,133,100%,,
Thames Water,FOLKSTONE ROAD SPS,CSBC.0127,,,,140.55,20,100%,,
Thames Water,FOREST HILL STW,TEMP.2597,,,,117.6,27,100%,,
Thames Water,FRIDAY STREET SU76823501 CSO,TEMP.1003,,,,7.77,6,86%,Multiple periods of missing data after 12/11/2020  due to comms issues.,
Thames Water,FROGMORE STORM TQ25744703 CSO,TEMP.2599,,,,32.55,16,99%,"Data calculated to account for tidal influence
",
Thames Water,FYFIELD STW,CNTD.0046,,,,1764.04,91,100%,,
Thames Water,GARDEN WAY,TEMP.2610,,,,0,0,100%,,
Thames Water,GARNETS SPS,TEMP.2042,,,,11.17,5,100%,,
Thames Water,GASCOIGNE ROAD STRATEGIC SPS,CSBC.0128,,,,25.59,3,100%,,
Thames Water,GERRARDS CROSS STW,TEMP.2613,,,,1320,82,100%,,
Thames Water,GODALMING STW,TEMP.2614,,,,94.99,16,100%,,
Thames Water,GORDON ROAD TQ44858803 CSO,TEMP.2637,,,,0.81,2,77%,"Data between 01/04-15/04 missing due to installation issue. Data between 05/06-23/07, 04/08-05/08 missing due to comms issue",
Thames Water,GORING STW,TEMP.2616,,,,0,0,100%,,
Thames Water,GREAT BEDWYN STW,TEMP.2619,,,,787.42,62,100%,,
Thames Water,GREATWORTH STW,CSSC.7686,,,,300.11,20,100%,,
Thames Water,GREENWICH,CSAB.0537,,,,85.24,15,100%,,
Thames Water,GRENDON UNDERWOOD STW,TEMP.2626,,,,1031.65,100,78%,Multiple short periods of missing data due to comms issues ,
Thames Water,GROSVENOR DITCH TQ30782704 CSO,CSAB.0562,,,,51.01,135,99%,"Data calculated to account for tidal influence
",
Thames Water,GUILDFORD STW,CTCR.1107,,,,346.04,27,99%,,
Thames Water,HADDENHAM STW,CSSC.2316,,,,1948.72,101,100%,,
Thames Water,HALLINGBURY ROAD SPS,CTCR.1919,,,,40.88,9,100%,,
Thames Water,HAMBLEDEN STW,CAWM.0193,,,,35.47,12,100%,,
Thames Water,HAMMERSMITH SPS,CSAB.0572,,,,27.57,7,100%,,
Thames Water,HAMPSTEAD NORREYS STW,TEMP.2647,,,,4111.95,204,100%,,
Thames Water,HAMSTEAD MARSHALL STW,CSSC.1381,,,,1455.88,92,100%,,
Thames Water,Hangar Lane ,EPR/AB3796VT,,,,,,0%,Data missing due to incorrect site set-up resulting in historical data not saving ,
Thames Water,HANWELL STW,TEMP.2648,,,,928.87,85,100%,,
Thames Water,HARPENDEN STW,TEMP.2649,,,,168.84,15,100%,,
Thames Water,HARTLEY WINTNEY STW,CTCR.1865,,,,442.81,41,99%,,
Thames Water,HASLEMERE STW,CTCR.1203,,,,996.38,58,94%,,
Thames Water,HATFIELD HEATH STW,CSSC.0261,,,,2095.9,113,100%,,
Thames Water,HEATHWALL SPS,CSAB.0522,,,,267.2,31,100%,,
Thames Water,HENLEY STW,TEMP.2657,,,,0,0,100%,,
Thames Water,HEYFORD STW,TEMP.2658,,,,283.9,35,96%,,
Thames Water,HIGH ROAD TQ40901502 CSO,TEMP.2681,,,,16.28,25,100%,,
Thames Water,HIGH WYCOMBE TRANSFER STW,TEMP.2659,,,,0,0,100%,Data has been calculated using records of operation of valve on site.,
Thames Water,HIGHFIELD ROAD TQ2488321E CSO,CANM.1220,,,,0,0,100%,,
Thames Water,HIGHWORTH EASTROP SU20927602 CSO,RET/TH/24,,,,52.31,32,95%,,
Thames Water,HIGHWORTH STW,CNTD.0075,,,,874.35,69,100%,,
Thames Water,Hillside Avenue,EPR/AB3890AS,,,,,,0%,Data missing due to incorrect site set-up resulting in historical data not saving ,
Thames Water,HOCKFORD STW,CNTD.0037,,,,241.68,48,100%,,
Thames Water,HOGSMILL STW,CASM.0042,,,,257.43,30,100%,,
Thames Water,HOLLOWAY STORM RELIEF TQ36800804 CSO,CSAB.0527,,,,49.1,6,100%,,
Thames Water,HOLMWOOD STW,CATM.3243,,,,1591.34,109,100%,,
Thames Water,HOLYBOURNE SPS,CASM.0710,,,,346.14,20,100%,,
Thames Water,HOOK NORTON STW,CTCR.1796,,,,216.15,22,99%,,
Thames Water,HORLEY (OXFORDSHIRE) STW,TEMP.2667,,,,609.29,69,100%,,
Thames Water,HORLEY (SURREY) STW,CTCR.1779,,,,1265.5,69,99%,,
Thames Water,HORNE WAY TQ23750307 CSO,TEMP.2986,,,,22.73,9,48%,Data missing between 16/02/2020- 11/07/2020 due to interferance with sensor,
Thames Water,HORNTON STW,TEMP.2669,,,,374.19,39,100%,,
Thames Water,HORSEFERRY ROAD TQ30782912 CSO,CSAB.0563,,,,13.99,11,100%,,
Thames Water,HORTON CUM STUDLEY STW,CNTD.0008,,,,1832.27,107,100%,,
Thames Water,HP_ARFORD SPS,CASM.0402,,,,8.35,3,100%,,
Thames Water,HP_BLACKNEST ALTON SPS  (Storm King),CTCP.0428,,,,59.87,8,99%,,
Thames Water,HUNGERFORD STW,CSSC.2335,,,,81.25,15,96%,,
Thames Water,HW_CROOKED BILLET SPS,CATM.3173,,,,42.85,19,100%,,
Thames Water,HW_ELVETHAM ROAD SPS,TEMP.0917,,,,4.98,3,100%,,
Thames Water,HW_WEDMANS LANE SPS,TEMP.1825,,,,37.43,6,100%,,
Thames Water,IRONGATE TQ33807401 CSO,CSAB.0580,,,,191.95,140,94%,"Data calculated to account for tidal influence
",
Thames Water,IRONS BOTTOM STW,TEMP.2691,,,,0,0,100%,,
Thames Water,Isle of Dogs ,TEMP.2552,,,,26.19,7,100%,,
Thames Water,ISLIP STW,TEMP.2692,,,,0,0,100%,,
Thames Water,IVER NORTH STW,CNTD.0079,,,,0,0,100%,,
Thames Water,JEWS ROW TQ25759407,CSSA.0383,,,,0,0,96%,,
Thames Water,JEWS ROW TQ26752038 CSO,CSAB.0546,,,,1.65,2,100%,,
Thames Water,KEMPSFORD STW,CATM.3520,,,,0,0,100%,,
Thames Water,KENDAL ROAD TQ22855502 CSO,TEMP.2708,,,,0.48,1,87%,"Data after 15/11/2020 missing due to suspect data. 
",
Thames Water,KEW TRANSFER WORKS STW LEVEL 2,CASM.0249,,,,104.52,20,100%,,
Thames Water,KIMPTON ROAD TL10207702 CSO,CANM.0473/1/1,,,,0,0,100%,,
Thames Water,KING EDWARD MEMORIAL PARK TQ35811303 CSO,CSAB.0549,,,,23.82,16,95%,,
Thames Water,KINGHAM THE MILL SPS,CTCR.1981,,,,75.07,17,100%,,
Thames Water,Kings Avenue,EPR/AB3890EX,,,,,,0%,Data missing due to incorrect site set-up resulting in historical data not saving ,
Thames Water,KINGS SCHOLARS POND TQ29787103 CSO,CSAB.0561,,,,234.71,105,99%,"Data calculated to account for tidal influence
",
Thames Water,KINGS SUTTON STW,TEMP.2702,,,,86.48,12,99%,,
Thames Water,KINGSCLERE STW,TEMP.2703,,,,1669.61,105,100%,,
Thames Water,KINGSTON BAGPUIZE,NPSWQD002614,,,,157.86,29,100%,,
Thames Water,KINGSTON MAIN SPS,TEMP.1273,,,,6.25,3,100%,,
Thames Water,KINTBURY STW,TEMP.2706,,,,1619.83,83,100%,,
Thames Water,KNOWLE LANE TQ05387802 CSO,TEMP.2711,,,,79,16,100%,,
Thames Water,LEADEN RODING STW INLET PS,CSSC.1400,,,,482.4,61,100%,,
Thames Water,LEATHERHEAD STW,CTCR.1780,,,,1108.46,76,94%,,
Thames Water,LECHLADE STW,CTCR.1797,,,,845.12,51,100%,,
Thames Water,LEESIDE CRESCENT TQ24882402 CSO,TEMP.2736,,,,19.89,13,96%,,
Thames Water,LEESIDE CRESCENT TQ2488341D CSO,CANM.0917,,,,12.62,10,97%,,
Thames Water,LEOPOLD ROAD TQ21844103 CSO,TEMP.2737,,,,85.11,31,99%,,
Thames Water,LIGHTWATER STW LEVEL 1,CNTD.0033,,,,57.05,12,100%,,
Thames Water,LINDSAY DRIVE TQ18883302 CSO,TEMP.2739,,,,87.34,37,100%,,
Thames Water,LITTLE COMPTON STW,TEMP.2721,,,,779.17,69,99%,,
Thames Water,LITTLE HALLINGBURY STW,CSSC.0263,,,,875.56,59,100%,,
Thames Water,LITTLE MARLOW STW,CNTD.0058,,,,150.94,15,84%,"Data between 06/08/2020-05/10-2020 missing due to suspect data 
",
Thames Water,LITTLE MILTON STW,TEMP.2725,,,,8.62,4,98%,,
Thames Water,LITTLEMEAD INDUSTRIAL ESTATE TQ04388901 CSO,CTCR.1941,,,,266.41,33,88%,"Multiple periods of missing data due to comms issues 
",
Thames Water,LITTLEMORE SPS,TEMP.1358,,,,14,3,100%,,
Thames Water,LONDON BRIDGE MAINLINE 1 TQ32808602B,CSAB.0579,,,,6.28,6,84%,"Multiple periods missing due to comms issues. Data calculated to account for tidal influence
",
Thames Water,LONDON ROAD (MARLBORO) SPS,TEMP.1368,,,,1.4,2,100%,,
Thames Water,LONG CRENDON STW,TEMP.2727,,,,9.83,5,76%,Multiple periods of missing data due to comms issues,
Thames Water,LONGBRIDGE ROAD B TQ4685671B CSO,CANM.0919,,,,342.26,54,100%,,
Thames Water,LONGLEY ROAD TQ27701901 CSO,TEMP.2747,,,,1.91,2,100%,,
Thames Water,LONGREACH STW,CNTD.0067,,,,781.73,73,100%,,
Thames Water,LONGSTONE AVENUE TQ21839801A CSO,TEMP.2749,,,,0,0,100%,,
Thames Water,LOTS ROAD SPS,CSAB.0573,,,,4.06,2,100%,,
Thames Water,LOW HALL (WALTHAMSTOW) STORM TANK SPS,CSBC.0084,,,,71.31,11,100%,,
Thames Water,LOWER MALL TQ23780113 CSO,CSAB.0535,,,,0.33,1,100%,,
Thames Water,LOWER MALL TQ25018900 CSO,CSAB.0571,,,,0.39,2,100%,,
Thames Water,LOWER THAMES STREET TQ33803504 CSO,CSAB.0559,,,,14.84,20,100%,,
Thames Water,LUDGERSHALL STW,CSSC.1406,,,,0,0,100%,,
Thames Water,LYON PARK AVENUE TQ18843602 CSO,TEMP.2754,,,,0,0,100%,,
Thames Water,LYTTON ROAD TQ26965207 CSO,TEMP.2755,,,,19.33,9,100%,,
Thames Water,MAIDENHEAD STW,TEMP.2757,,,,0.71,1,35%,Data missing between 01/05/2020 - 10/09/2020 due to interferance with sensor,
Thames Water,MAPLE LODGE STK9,CNTD.0071,,,,1109.95,83,100%,,
Thames Water,MARKENFIELD ROAD SU99506208 CSO,TEMP.2792,,,,0.11,1,100%,,
Thames Water,MARKYATE STW,CSSC.8549,,,,16.73,5,95%,,
Thames Water,MARLBOROUGH STW,TEMP.2763,,,,2872.22,151,97%,,
Thames Water,MARSH GIBBON STW,TEMP.2765,,,,2186.68,114,95%,,
Thames Water,MARSH LANE BRIDGE SPS,TEMP.1471,,,,4.31,5,100%,,
Thames Water,MARSWORTH SPS,TEMP.2766,,,,43.03,5,100%,,
Thames Water,MERSTHAM STW LEVEL 1,CTCR.1782,,,,681.86,44,100%,,
Thames Water,MIDDLE BARTON STW,CTCR.1850,,,,133.91,12,91%,,
Thames Water,MIDDLETON CHENEY STW,CAWM.0308,,,,256.85,28,81%,Multiple periods of missing data due to comms issues. Data calculated to account for tidal influence,
Thames Water,MIDDLETON STONEY STW,TEMP.2773,,,,202.84,22,100%,,
Thames Water,MIDGHAM STW,TEMP.2774,,,,205.52,44,99%,,
Thames Water,MILL GREEN STW,TEMP.2653,,,,11.6,7,100%,,
Thames Water,MILTON UNDER WYCHWOOD STW,TEMP.2776,,,,2060.72,141,100%,,
Thames Water,MOGDEN STW,CNTD.0085,,,,412.75,42,100%,,
Thames Water,MORETON PINKNEY STW,CNTD.0010,,,,54.98,17,100%,,
